country;pop2020
Aruba;106845
Afghanistan;39074280
Angola;33032075
Anguilla;15026
Albania;2877239
Finland;5542237
Andorra;77287
United Arab Emirates;9910892
Argentina;45267449
Armenia;2964219
American Samoa;55169
Antarctica;
Australia;25550683
French Southern and Antarctic Lands;
Antigua and Barbuda;98069
Austria;9015361
Azerbaijan;10154978
Burundi;11948454
Belgium;11598451
Benin;12175480
Burkina Faso;20997293
Bangladesh;164972348
Bulgaria;6939018
Bahrain;1711057
Bahamas;393893
Bosnia and Herzegovina;3277152
Saint Barthelemy;9882
Belarus;9448772
Belize;398845
Bermuda;62237
Bolivia;11700207
Brazil;212821986
Barbados;287437
Brunei;438202
Bhutan;773069
Botswana;2359585
Central African Republic;4843954
Canada;37799407
Switzerland;8665615
Chile;19144605
China;1440297825
Cote d'Ivoire;26486282
Cameroon;26655083
Congo (Kinshasa);90003954
Congo (Brazzaville);5540555
Cook Islands;17567
Colombia;50976248
Comoros;872695
Cape Verde;557026
Costa Rica;5102158
Cuba;11325391
Curacao;164211
Cayman Islands;65854
Cyprus;1208886
Czechia;10712481
Germany;83830972
Djibouti;990447
Dominica;72017
Denmark;5795780
Dominican Republic;10866667
Algeria;43984569
Ecuador;17688599
Egypt;102659126
Eritrea;3554797
Eswatini;1162233
Spain;46757980
Estonia;1326693
Ethiopia;115434444
Fiji;897573
Falkland Islands;3497
Reunion;896422
Mayotte;273905
French Guiana;299958
Martinique;375213
Guadeloupe;400136
France;65298930
Faroe Islands;48896
Micronesia;115231
Gabon;2234448
United Kingdom;67948282
Georgia;3987805
Guernsey;
Ghana;31181428
Guinea;13191279
Gambia;2427782
Guinea-Bissau;1975718
Equatorial Guinea;1410419
Greece;10413936
Grenada;112614
Greenland;56787
Guatemala;17971382
Guam;169031
Guyana;787215
Heard Island;
Honduras;9931333
Croatia;4100719
Haiti;11426356
Hungary;9655983
Indonesia;274021604
Isle of Man;85112
India;1382345085
Cocos Islands;
Christmas Island;
Chagos Archipelago;
Ireland;4947267
Iran;84176929
Iraq;40372771
Iceland;341628
Israel;8678517
Italy;60446035
San Marino;33944
Jamaica;2963429
Jersey;
Jordan;10220604
Japan;126407422
Siachen Glacier;
Kazakhstan;18815231
Kenya;53968739
Kyrgyzstan;6542426
Cambodia;16758448
Kiribati;119760
Saint Kitts and Nevis;53264
Korea, South;51276977
Kosovo;
Kuwait;4281320
Laos;7293542
Lebanon;6819976
Liberia;5077411
Libya;6887247
Saint Lucia;183774
Liechtenstein;38147
Sri Lanka;21428970
Lesotho;2145194
Lithuania;2715340
Luxembourg;627704
Latvia;1882408
Saint Martin;38778
Morocco;36985624
Monaco;39290
Moldova;4032294
Madagascar;27808395
Maldives;542151
Mexico;129166028
Marshall Islands;59259
North Macedonia;2083359
Mali;20346106
Malta;441750
Myanmar;54473253
Montenegro;628080
Mongolia;3287242
Northern Mariana Islands;57619
Mozambique;31398811
Mauritania;4669775
Montserrat;4993
Mauritius;1272140
Malawi;19211425
Malaysia;32436963
Namibia;2548663
New Caledonia;285972
Niger;24346468
Norfolk Island;
Nigeria;206984347
Nicaragua;6638075
Niue;1628
Bonaire;
Sint Eustatius;
Saba;
Netherlands;17141544
Norway;5428594
Nepal;29225196
Nauru;10836
New Zealand;4829021
Oman;5128058
Pakistan;221612785
Panama;4326296
Pitcairn Islands;
Peru;33050211
Philippines;109830324
Palau;18109
Papua New Guinea;8975531
Poland;37839255
Puerto Rico;2846860
North Korea;25798588
Madeira Islands;
Azores;
Portugal;10191409
Paraguay;7147553
West Bank and Gaza;5121112
French Polynesia;281191
Qatar;2889284
Romania;19214608
Russia;145945524
Rwanda;13005303
Western Sahara;599769
Saudi Arabia;34905942
Sudan;44019263
South Sudan;11216250
Senegal;16816539
Singapore;5858322
South Sandwich Islands;
South Georgia;
Saint Helena;6080
Ascension Island;
Solomon Islands;689671
Sierra Leone;8004158
El Salvador;6491923
Somalia;15965848
Saint Pierre and Miquelon;5789
Serbia;8731081
Sao Tome and Principe;219844
Suriname;587541
Slovakia;5460109
Slovenia;2078989
Sweden;10110233
Sint Maarten;42960
Seychelles;98453
Syria;17571053
Turks and Caicos Islands;38806
Chad;16502877
Togo;8310934
Thailand;69830779
Tajikistan;9573310
Turkmenistan;6046292
Timor-Leste;1322667
Tonga;105901
Trinidad and Tobago;1400283
Tunisia;11839918
Turkey;84495243
Taiwan;23824369
Tanzania;60012400
Uganda;45974931
Ukraine;43686577
Uruguay;3475842
US;331341050
Uzbekistan;33551824
Holy See;799
Saint Vincent and the Grenadines;111002
Venezuela;28421581
Virgin Islands;30266
Vietnam;97490013
Vanuatu;308337
Wallis and Futuna;11203
Samoa;198643
Yemen;29935468
South Africa;59436725
Zambia;18468257
Zimbabwe;14899771
